	postsynaptic_ID	counts	presynaptic_ID	partner_ID	name	top_nt	super_class	cell_class
71	720575940597170763	1	720575940620042107	720575940597170763	nan	nan	nan	nan
72	720575940621622255	1	720575940620042107	720575940621622255	nan	nan	nan	nan
73	720575940624185784	36	720575940608603331	720575940624185784	L5	acetylcholine	optic	LA>ME
74	720575940606406530	33	720575940608603331	720575940606406530	L1	glutamate	optic	LA>ME
75	720575940619642021	32	720575940608603331	720575940619642021	L2	acetylcholine	optic	LA>ME
76	720575940617076258	19	720575940608603331	720575940617076258	Mi1	acetylcholine	optic	ME
77	720575940632090435	13	720575940608603331	720575940632090435	L4	acetylcholine	optic	LA>ME
78	720575940634248639	10	720575940608603331	720575940634248639	Tm1	acetylcholine	optic	ME>LO
79	720575940631551852	9	720575940608603331	720575940631551852	Dm9	acetylcholine	optic	ME
80	720575940611260821	9	720575940608603331	720575940611260821	L3	acetylcholine	optic	LA>ME
81	720575940613183923	8	720575940608603331	720575940613183923	L2	acetylcholine	optic	LA>ME
82	720575940611917977	6	720575940608603331	720575940611917977	L4	acetylcholine	optic	LA>ME
83	720575940643664948	6	720575940608603331	720575940643664948	L4	acetylcholine	optic	LA>ME
84	720575940633978007	5	720575940608603331	720575940633978007	Mi4	gaba	optic	ME
85	720575940607218780	5	720575940608603331	720575940607218780	Mi9	glutamate	optic	ME
86	720575940629288451	5	720575940608603331	720575940629288451	T1	glutamate	optic	ME>LA
87	720575940593321979	5	720575940608603331	720575940593321979	nan	nan	nan	nan
88	720575940384143492	4	720575940608603331	720575940384143492	nan	nan	nan	nan
89	720575940384139652	4	720575940608603331	720575940384139652	nan	nan	nan	nan
90	720575940635212963	4	720575940608603331	720575940635212963	L5	acetylcholine	optic	LA>ME
91	720575940596617941	4	720575940608603331	720575940596617941	nan	nan	nan	nan
92	720575940623150625	4	720575940608603331	720575940623150625	nan	nan	nan	nan
93	720575940604369600	4	720575940608603331	720575940604369600	nan	nan	nan	nan
94	720575940614237871	4	720575940608603331	720575940614237871	Dm1	gaba	optic	ME
95	720575940616606844	3	720575940608603331	720575940616606844	nan	nan	nan	nan
96	720575940606865484	3	720575940608603331	720575940606865484	nan	nan	nan	nan
97	720575940604413376	3	720575940608603331	720575940604413376	nan	nan	nan	nan
98	720575940606866508	3	720575940608603331	720575940606866508	nan	nan	nan	nan
99	720575940604369088	3	720575940608603331	720575940604369088	nan	nan	nan	nan
100	720575940626150462	3	720575940608603331	720575940626150462	Mi15	acetylcholine	optic	ME
101	720575940604370368	2	720575940608603331	720575940604370368	nan	nan	nan	nan
102	720575940443636327	2	720575940608603331	720575940443636327	nan	nan	nan	nan
103	720575940516396258	2	720575940608603331	720575940516396258	nan	nan	nan	nan
104	720575940529440846	2	720575940608603331	720575940529440846	nan	nan	nan	nan
105	720575940516391906	2	720575940608603331	720575940516391906	nan	nan	nan	nan
106	720575940566728364	2	720575940608603331	720575940566728364	nan	nan	nan	nan
107	720575940608943708	2	720575940608603331	720575940608943708	R7	gaba	sensory	visual
