	presynaptic_ID	counts	postsynaptic_ID	partner_ID	name	top_nt	super_class	cell_class
0	720575940634193815	48	720575940605886385	720575940634193815	L1	glutamate	optic	LA>ME
1	720575940616289364	14	720575940605886385	720575940616289364	L5	acetylcholine	optic	LA>ME
2	720575940635239075	9	720575940605886385	720575940635239075	L5	acetylcholine	optic	LA>ME
3	720575940620922644	7	720575940605886385	720575940620922644	Mi1	acetylcholine	optic	ME
4	720575940604151008	6	720575940605886385	720575940604151008	Mi1	acetylcholine	optic	ME
5	720575940624989447	5	720575940605886385	720575940624989447	Lawf2	acetylcholine	optic	ME>LA
6	720575940632777320	5	720575940605886385	720575940632777320	OA-AL2b2	acetylcholine	visual_centrifugal	nan
7	720575940623888397	4	720575940605886385	720575940623888397	Pm__to__C2	gaba	optic	ME
8	720575940636293739	4	720575940605886385	720575940636293739	Mi1	acetylcholine	optic	ME
9	720575940617729465	4	720575940605886385	720575940617729465	L5	acetylcholine	optic	LA>ME
10	720575940623499132	4	720575940605886385	720575940623499132	Pm__to__C2	gaba	optic	ME
11	720575940628695044	3	720575940605886385	720575940628695044	Lawf2	acetylcholine	optic	ME>LA
12	720575940629545371	3	720575940605886385	720575940629545371	Lawf2	acetylcholine	optic	ME>LA
13	720575940630250540	3	720575940605886385	720575940630250540	L5	acetylcholine	optic	LA>ME
14	720575940609063800	3	720575940605886385	720575940609063800	Mi1	acetylcholine	optic	ME
15	720575940624564553	2	720575940605886385	720575940624564553	Lawf2	acetylcholine	optic	ME>LA
16	720575940633944165	2	720575940605886385	720575940633944165	nan	nan	nan	nan
17	720575940636543668	2	720575940605886385	720575940636543668	CB0592	acetylcholine	optic	bilateral
18	720575940614356264	2	720575940605886385	720575940614356264	Lawf2	acetylcholine	optic	ME>LA
19	720575940635380831	2	720575940605886385	720575940635380831	Lawf2	acetylcholine	optic	ME>LA
20	720575940636918391	2	720575940605886385	720575940636918391	Lawf2	acetylcholine	optic	ME>LA
21	720575940635239587	1	720575940605886385	720575940635239587	L5	acetylcholine	optic	LA>ME
